trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
7973,2023-11-01 15:10:00,2023-11-01 15:45:00,LONG,34247.6,34243.85,1800,-0.2,False,TIME,7,NY open
7974,2023-11-02 13:30:00,2023-11-02 13:40:00,LONG,35185.98,34913.57,1800,-1.44,False,SL,2,NY open
7975,2023-11-02 13:40:00,2023-11-02 14:05:00,LONG,34913.57,34859.99,1800,-1.44,False,SL,5,NY open
7976,2023-11-02 14:05:00,2023-11-02 14:30:00,LONG,34859.99,34800.01,1800,-1.44,False,SL,5,NY open
7977,2023-11-02 14:30:00,2023-11-02 14:40:00,LONG,34800.01,34900.57,1800,4.5,True,TP,2,NY open
7978,2023-11-02 15:10:00,2023-11-02 15:20:00,LONG,34778.59,34668.39,1800,-1.44,False,SL,2,NY open
7979,2023-11-02 15:20:00,2023-11-02 15:30:00,LONG,34668.39,34635.0,1800,-1.44,False,SL,2,NY open
7980,2023-11-02 15:30:00,2023-11-02 15:40:00,LONG,34635.0,34746.34,1800,4.5,True,TP,2,NY open
7981,2023-11-02 15:55:00,2023-11-02 16:05:00,LONG,34640.01,34728.22,1800,4.5,True,TP,2,NY open
7982,2023-11-02 16:15:00,2023-11-02 16:20:00,LONG,34584.0,34505.01,1800,-1.44,False,SL,1,NY open
7983,2023-11-02 16:20:00,2023-11-02 16:25:00,LONG,34505.01,34454.85,1800,-1.44,False,SL,1,NY open
7984,2023-11-02 16:25:00,2023-11-02 16:35:00,LONG,34454.85,34582.0,1800,4.5,True,TP,2,out of session
7985,2023-11-03 07:00:00,2023-11-03 07:35:00,LONG,34440.79,34413.08,1800,-1.44,False,SL,7,London open
7986,2023-11-03 07:35:00,2023-11-03 07:40:00,LONG,34413.08,34384.67,1800,-1.44,False,SL,1,London open
7987,2023-11-03 07:40:00,2023-11-03 08:05:00,LONG,34384.67,34528.68,1800,4.5,True,TP,5,London open
7988,2023-11-03 09:15:00,2023-11-03 09:20:00,LONG,34354.91,34305.63,1800,-1.44,False,SL,1,London open
7989,2023-11-03 09:20:00,2023-11-03 09:35:00,LONG,34305.63,34268.96,1800,-1.44,False,SL,3,London open
7990,2023-11-03 09:35:00,2023-11-03 09:50:00,LONG,34268.96,34235.68,1800,-1.44,False,SL,3,London open
7991,2023-11-03 09:50:00,2023-11-03 10:00:00,LONG,34235.68,34206.84,1800,-1.44,False,SL,2,out of session
7992,2023-11-04 09:55:00,2023-11-04 10:30:00,LONG,34757.01,34771.71,1800,0.76,True,TIME,7,out of session
7993,2023-11-04 13:50:00,2023-11-04 14:25:00,LONG,34680.01,34731.99,1800,2.7,True,TIME,7,NY open
7994,2023-11-05 07:10:00,2023-11-05 07:45:00,LONG,35048.14,35126.3,1800,4.01,True,TIME,7,London open
7995,2023-11-05 08:50:00,2023-11-05 09:25:00,LONG,35036.55,35065.18,1800,1.47,True,TIME,7,London open
7996,2023-11-05 13:50:00,2023-11-05 13:55:00,LONG,35022.24,34831.04,1800,-1.44,False,SL,1,NY open
7997,2023-11-05 13:55:00,2023-11-05 14:30:00,LONG,34831.04,34917.71,1800,4.48,True,TIME,7,NY open
7998,2023-11-06 13:35:00,2023-11-06 13:40:00,LONG,35008.89,34927.1,1800,-1.44,False,SL,1,NY open
7999,2023-11-06 13:40:00,2023-11-06 13:55:00,LONG,34927.1,35030.36,1800,4.5,True,TP,3,NY open
8000,2023-11-06 16:10:00,2023-11-06 16:20:00,LONG,35033.46,34993.65,1800,-1.44,False,SL,2,NY open
8001,2023-11-06 16:20:00,2023-11-06 16:45:00,LONG,34993.65,34947.64,1800,-1.44,False,SL,5,out of session
8002,2023-11-07 09:00:00,2023-11-07 09:15:00,LONG,34875.39,34840.01,1800,-1.44,False,SL,3,London open
8003,2023-11-07 09:15:00,2023-11-07 09:35:00,LONG,34840.01,34760.0,1800,-1.44,False,SL,4,London open
8004,2023-11-07 09:35:00,2023-11-07 09:45:00,LONG,34760.0,34886.5,1800,4.5,True,TP,2,London open
8005,2023-11-07 09:55:00,2023-11-07 10:00:00,LONG,34785.44,34752.84,1800,-1.44,False,SL,1,out of session
8006,2023-11-07 15:30:00,2023-11-07 16:05:00,LONG,34659.89,34695.43,1800,1.85,True,TIME,7,NY open
8007,2023-11-08 08:00:00,2023-11-08 08:30:00,LONG,35202.67,35298.57,1800,4.5,True,TP,6,London open
8008,2023-11-08 15:00:00,2023-11-08 15:20:00,LONG,35247.05,35146.37,1800,-1.44,False,SL,4,NY open
8009,2023-11-08 15:20:00,2023-11-08 15:55:00,LONG,35146.37,35225.68,1800,4.06,True,TIME,7,NY open
8010,2023-11-09 07:40:00,2023-11-09 08:15:00,LONG,36562.05,36613.52,1800,2.53,True,TIME,7,London open
8011,2023-11-09 15:50:00,2023-11-09 15:55:00,LONG,37331.11,37084.02,1800,-1.44,False,SL,1,NY open
8012,2023-11-09 15:55:00,2023-11-09 16:05:00,LONG,37084.02,36893.86,1800,-1.44,False,SL,2,NY open
8013,2023-11-09 16:05:00,2023-11-09 16:10:00,LONG,36893.86,36573.38,1800,-1.44,False,SL,1,NY open
8014,2023-11-09 16:10:00,2023-11-09 16:30:00,LONG,36573.38,36483.9,1800,-1.44,False,SL,4,out of session
8015,2023-11-10 07:05:00,2023-11-10 07:25:00,LONG,36601.1,36523.75,1800,-1.44,False,SL,4,London open
8016,2023-11-10 07:25:00,2023-11-10 07:50:00,LONG,36523.75,36470.6,1800,-1.44,False,SL,5,London open
8017,2023-11-10 07:50:00,2023-11-10 07:55:00,LONG,36470.6,36439.98,1800,-1.44,False,SL,1,London open
8018,2023-11-10 07:55:00,2023-11-10 08:15:00,LONG,36439.98,36389.39,1800,-1.44,False,SL,4,London open
8019,2023-11-10 08:15:00,2023-11-10 08:35:00,LONG,36389.39,36482.7,1800,4.5,True,TP,4,London open
8020,2023-11-10 14:05:00,2023-11-10 14:15:00,LONG,36939.31,37039.83,1800,4.5,True,TP,2,NY open
8021,2023-11-11 07:45:00,2023-11-11 08:20:00,LONG,36961.89,36996.67,1800,1.69,True,TIME,7,London open
8022,2023-11-11 15:45:00,2023-11-11 15:50:00,LONG,37099.55,37059.44,1800,-1.44,False,SL,1,NY open
8023,2023-11-11 15:50:00,2023-11-11 16:25:00,LONG,37059.44,37121.09,1800,2.99,True,TIME,7,NY open
8024,2023-11-12 08:00:00,2023-11-12 08:15:00,LONG,37098.82,37059.51,1800,-1.44,False,SL,3,London open
8025,2023-11-12 08:15:00,2023-11-12 08:50:00,LONG,37059.51,37095.87,1800,1.77,True,TIME,7,London open
8026,2023-11-12 09:35:00,2023-11-12 10:10:00,LONG,37048.9,37059.17,1800,0.5,True,TIME,7,out of session
8027,2023-11-13 08:20:00,2023-11-13 08:50:00,LONG,36926.89,37034.19,1800,4.5,True,TP,6,London open
8028,2023-11-13 14:40:00,2023-11-13 14:55:00,LONG,36675.0,36787.23,1800,4.5,True,TP,3,NY open
8029,2023-11-13 15:10:00,2023-11-13 15:45:00,LONG,36719.44,36807.34,1800,4.31,True,TIME,7,NY open
8030,2023-11-14 09:20:00,2023-11-14 09:30:00,LONG,36612.65,36566.28,1800,-1.44,False,SL,2,London open
8031,2023-11-14 09:30:00,2023-11-14 09:45:00,LONG,36566.28,36502.01,1800,-1.44,False,SL,3,London open
8032,2023-11-14 09:45:00,2023-11-14 10:00:00,LONG,36502.01,36395.93,1800,-1.44,False,SL,3,out of session
8033,2023-11-14 15:15:00,2023-11-14 15:20:00,LONG,36442.05,36304.18,1800,-1.44,False,SL,1,NY open
8034,2023-11-14 15:20:00,2023-11-14 15:25:00,LONG,36304.18,36253.0,1800,-1.44,False,SL,1,NY open
8035,2023-11-14 15:25:00,2023-11-14 15:30:00,LONG,36253.0,35976.98,1800,-1.44,False,SL,1,NY open
8036,2023-11-14 15:30:00,2023-11-14 15:35:00,LONG,35976.98,36115.66,1800,4.5,True,TP,1,NY open
8037,2023-11-14 15:35:00,2023-11-14 15:45:00,LONG,36115.66,36231.93,1800,4.5,True,TP,2,NY open
8038,2023-11-14 15:55:00,2023-11-14 16:10:00,LONG,36147.09,36280.28,1800,4.5,True,TP,3,NY open
8039,2023-11-15 13:35:00,2023-11-15 13:50:00,LONG,36041.1,36135.0,1800,4.5,True,TP,3,NY open
8040,2023-11-16 08:10:00,2023-11-16 08:15:00,LONG,37413.87,37346.69,1800,-1.44,False,SL,1,London open
8041,2023-11-16 08:15:00,2023-11-16 08:25:00,LONG,37346.69,37286.36,1800,-1.44,False,SL,2,London open
8042,2023-11-16 08:25:00,2023-11-16 08:45:00,LONG,37286.36,37387.36,1800,4.5,True,TP,4,London open
8043,2023-11-16 08:55:00,2023-11-16 09:05:00,LONG,37300.4,37256.0,1800,-1.44,False,SL,2,London open
8044,2023-11-16 09:05:00,2023-11-16 09:10:00,LONG,37256.0,37356.61,1800,4.5,True,TP,1,London open
8045,2023-11-16 13:30:00,2023-11-16 13:40:00,LONG,36858.16,36786.0,1800,-1.44,False,SL,2,NY open
8046,2023-11-16 13:40:00,2023-11-16 14:05:00,LONG,36786.0,36666.69,1800,-1.44,False,SL,5,NY open
8047,2023-11-16 14:05:00,2023-11-16 14:15:00,LONG,36666.69,36633.06,1800,-1.44,False,SL,2,NY open
8048,2023-11-16 14:15:00,2023-11-16 14:20:00,LONG,36633.06,36560.0,1800,-1.44,False,SL,1,NY open
8049,2023-11-16 14:20:00,2023-11-16 14:30:00,LONG,36560.0,36691.44,1800,4.5,True,TP,2,NY open
8050,2023-11-16 15:45:00,2023-11-16 15:50:00,LONG,36479.28,36329.48,1800,-1.44,False,SL,1,NY open
8051,2023-11-16 15:50:00,2023-11-16 16:00:00,LONG,36329.48,36516.01,1800,4.5,True,TP,2,NY open
8052,2023-11-17 07:25:00,2023-11-17 07:45:00,LONG,36255.99,36220.21,1800,-1.44,False,SL,4,London open
8053,2023-11-17 07:45:00,2023-11-17 08:05:00,LONG,36220.21,36317.52,1800,4.5,True,TP,4,London open
