date,entry,exit_price,pnl,win,bars_held,stop_hit,tp_hit,score,rsi,bb_pct,bb_width,vwap_dist,vol_spike,mom3,atr_pct,hour,weekday,above_ema50,above_ema200,ema50_gt_200,fresh_cross,below_vwap
2023-12-08 07:00,43355.01,43201.1,-0.355,False,4,True,False,3.0,33.99,0.116,0.0035,-0.00124,2.56,-0.00055,0.00059,7,4,0,0,0,0,1
2023-12-08 07:20,43201.1,43142.76,-0.135,False,1,True,False,3.0,13.72,-0.28,0.0058,-0.00346,5.62,-0.00434,0.00097,7,4,0,0,0,0,1
2023-12-08 07:25,43142.76,43261.3,0.2748,True,3,False,True,3.0,12.1,-0.213,0.0077,-0.00441,1.85,-0.00482,0.00112,7,4,0,0,0,0,1
2023-12-08 07:55,43166.01,43129.99,-0.0834,False,2,True,False,3.0,29.48,0.122,0.0088,-0.00254,1.08,-0.0022,0.00139,7,4,0,0,0,0,1
2023-12-08 08:05,43129.99,43252.49,0.284,True,5,False,True,3.0,31.36,0.094,0.0087,-0.00284,1.89,-0.00213,0.00161,8,4,0,0,0,0,1
2023-12-08 09:50,43139.31,43265.81,0.2932,True,10,False,True,2.0,39.09,-0.149,0.0031,-0.00183,2.37,-0.00137,0.00105,9,4,0,0,0,0,1
2023-12-08 13:35,43530.61,43684.62,0.3538,True,2,False,True,2.5,39.44,0.024,0.0064,-0.00295,1.09,-0.0041,0.00197,13,4,0,1,1,0,1
2023-12-08 13:50,43585.03,43739.55,0.3545,True,8,False,True,2.5,38.32,0.149,0.0057,-0.00177,0.47,0.00125,0.00221,13,4,1,1,1,0,1
2023-12-08 15:55,43760.94,43882.63,0.2781,True,1,False,True,2.5,29.97,0.233,0.0091,-0.00259,1.13,-0.00438,0.00195,15,4,1,1,1,0,1
2023-12-08 16:45,43800.01,43695.55,-0.2385,False,4,True,False,2.5,39.09,0.128,0.0051,-0.00179,0.72,-0.0031,0.00202,16,4,1,1,1,0,1
2023-12-08 17:05,43695.55,43658.0,-0.0859,False,3,True,False,2.0,44.37,-0.104,0.0063,-0.00382,1.33,-0.00307,0.00195,17,4,0,1,1,0,1
